seed,node_delete_strategy,num_removes,sensitive_dim,removed_nodes,auc_before,auc_after,ap_before,ap_after,acc_before,acc_after,f1_before,f1_after,delta_auc,delta_ap,delta_acc,delta_f1
0,random,500,0,500,0.8316496048850576,0.5930877334770115,0.9367690626410744,0.8119047902989489,0.74,0.606,0.8142857142857143,0.7090103397341211,-0.23856187140804608,-0.12486427234212549,-0.134,-0.10527537455159319
1,random,500,0,500,0.8318152435799495,0.627137568314039,0.8867033534422826,0.7631234870623891,0.75,0.626,0.8120300751879699,0.7170953101361573,-0.20467767526591052,-0.12357986637989349,-0.124,-0.09493476505181253
2,random,500,0,500,0.8311516189544084,0.6161915830682652,0.9146356291953832,0.789904183638821,0.74,0.626,0.8093841642228738,0.716236722306525,-0.2149600358861432,-0.12473144555656224,-0.11399999999999999,-0.09314744191634883
0,high_degree,500,0,500,0.8771764705882353,0.6291607843137255,0.9678772710003964,0.8980646091022244,0.812,0.7,0.8801020408163265,0.805699481865285,-0.24801568627450987,-0.06981266189817203,-0.1120000000000001,-0.07440255895104153
1,high_degree,500,0,500,0.8771764705882353,0.6291607843137255,0.9678772710003964,0.8980646091022244,0.812,0.7,0.8801020408163265,0.805699481865285,-0.24801568627450987,-0.06981266189817203,-0.1120000000000001,-0.07440255895104153
2,high_degree,500,0,500,0.8771764705882353,0.6291607843137255,0.9678772710003964,0.8980646091022244,0.812,0.7,0.8801020408163265,0.805699481865285,-0.24801568627450987,-0.06981266189817203,-0.1120000000000001,-0.07440255895104153
