num_removes,sensitive_dim,node_delete_strategy,n,auc_before_mean,auc_before_std,auc_after_mean,auc_after_std,delta_auc_mean,delta_auc_std,ap_before_mean,ap_before_std,ap_after_mean,ap_after_std,delta_ap_mean,delta_ap_std,acc_before_mean,acc_before_std,acc_after_mean,acc_after_std,delta_acc_mean,delta_acc_std,f1_before_mean,f1_before_std,f1_after_mean,f1_after_std,delta_f1_mean,delta_f1_std
500,0,high_degree,3,0.8771764705882353,0.0,0.6291607843137255,0.0,-0.2480156862745098,0.0,0.9678772710003964,0.0,0.8980646091022244,0.0,-0.069812661898172,0.0,0.8119999999999999,0.0,0.6999999999999998,0.0,-0.1120000000000001,0.0,0.8801020408163266,0.0,0.8056994818652848,0.0,-0.0744025589510415,0.0
500,0,random,3,0.8315388224731385,0.00034540406482713645,0.6121389616197719,0.01738291168247724,-0.21939986085336657,0.017372930707119125,0.9127026817595801,0.02508876289769345,0.7883108203333863,0.024429653933930987,-0.12439186142619367,0.0007063375291975407,0.7433333333333333,0.0057735026918962545,0.6193333333333334,0.011547005383792535,-0.12399999999999996,0.01000000000000006,0.8118999845655193,0.0024533631879870552,0.7141141240589345,0.0044408055677947,-0.09778586050658479,0.006547384704630042
500,1,high_degree,3,0.8685653333333333,0.0,0.7225706666666666,0.0,-0.1459946666666666,0.0,0.6103716640230668,0.0,0.4368211738800368,0.0,-0.1735504901430299,0.0,0.762,0.0,0.6960000000000001,0.0,-0.066,0.0,0.631578947368421,0.0,0.47586206896551725,0.0,-0.1557168784029038,0.0
500,1,random,3,0.8796848755532148,0.017438928554269477,0.7525630848756671,0.02149993979204919,-0.12712179067754767,0.017774659300081926,0.7518512035709364,0.028969067231229426,0.5853016633098141,0.02849597838096034,-0.1665495402611222,0.01976366563970754,0.8186666666666667,0.016289055630494136,0.7406666666666667,0.02318045153428496,-0.07799999999999993,0.008000000000000049,0.7293556841767398,0.017781892518240326,0.5578210894552723,0.03143757992416336,-0.17153459472146748,0.015668938527974196
500,2,high_degree,3,0.8709376863446631,0.0,0.8629248658318426,0.0,-0.0080128205128205,0.0,0.9325535729699833,0.0,0.9261899491034521,0.0,-0.0063636238665312,0.0,0.786,0.0,0.7840000000000001,0.0,-0.002,0.0,0.8410104011887073,0.0,0.8392857142857143,0.0,-0.0017246869029928999,0.0
500,2,random,3,0.8306604380168295,0.014396323565495413,0.8227722381888292,0.014736488232871195,-0.007888199828000432,0.0005391744106884496,0.80970088475047,0.027083301148889405,0.7968182935140601,0.02830155996196737,-0.0128825912364098,0.002206997710783326,0.73,0.017088007490635077,0.7253333333333334,0.014047538337136985,-0.004666666666666667,0.004163331998932265,0.736354309424983,0.0193223516768805,0.7315886715832413,0.01761239064165354,-0.004765637841741833,0.003425856820006389
1000,0,high_degree,3,0.8709875509406576,0.0,0.622169852700752,0.0,-0.2488176982399056,0.0,0.9712345747030487,0.0,0.8965704057978782,0.0,-0.0746641689051704,0.0,0.8080000000000002,0.0,0.6960000000000001,0.0,-0.1120000000000001,0.0,0.8787878787878788,0.0,0.8043758043758044,0.0,-0.0744120744120744,0.0
1000,0,random,3,0.8375482157561001,0.005418508477448911,0.6150188792270129,0.011710849681245042,-0.222529336529087,0.008512986052760848,0.924315497743149,0.014159434164993994,0.8102326912074336,0.012813201721242402,-0.11408280653571536,0.003342466912407752,0.7453333333333333,0.010598742063723148,0.6166666666666667,0.009712534856222277,-0.12866666666666668,0.0011547005383792486,0.8146361151108424,0.008249076779150792,0.7149434085807628,0.005596725615687719,-0.09969270653007971,0.0032991462394990805
