node_delete_strategy,seeds,auc_before_mean,auc_before_std,auc_after_mean,auc_after_std,delta_auc_mean,delta_auc_std,ap_before_mean,ap_before_std,ap_after_mean,ap_after_std,delta_ap_mean,delta_ap_std,acc_before_mean,acc_before_std,acc_after_mean,acc_after_std,delta_acc_mean,delta_acc_std,f1_before_mean,f1_before_std,f1_after_mean,f1_after_std,delta_f1_mean,delta_f1_std
high_degree,3,0.8771764705882353,0.0,0.6291607843137255,0.0,-0.24801568627450987,0.0,0.9678772710003964,0.0,0.8980646091022244,0.0,-0.06981266189817203,0.0,0.8119999999999999,0.0,0.6999999999999998,0.0,-0.1120000000000001,0.0,0.8801020408163266,0.0,0.8056994818652848,0.0,-0.07440255895104153,0.0
random,3,0.8315388224731385,0.00034540406482713645,0.6121389616197719,0.01738291168247724,-0.2193998608533666,0.017372930707119157,0.9127026817595801,0.02508876289769345,0.7883108203333863,0.024429653933930987,-0.12439186142619374,0.000706337529197534,0.7433333333333333,0.0057735026918962545,0.6193333333333334,0.011547005383792535,-0.124,0.010000000000000009,0.8118999845655193,0.0024533631879870552,0.7141141240589345,0.0044408055677947,-0.09778586050658485,0.006547384704630075
