seed,node_delete_strategy,num_removes,sensitive_dim,removed_nodes,auc_before,auc_after,ap_before,ap_after,acc_before,acc_after,f1_before,f1_after
0,random,50,0,50,0.9646569646569647,0.5,0.9852149502943471,0.74,0.96,0.74,0.9736842105263158,0.8505747126436781
0,random,50,0,50,0.9646569646569647,0.7702702702702703,0.9852149502943471,0.8521159578485599,0.96,0.8,0.9736842105263158,0.868421052631579
0,random,500,0,500,0.8316496048850576,0.5930877334770115,0.9367690626410745,0.8119047902989489,0.74,0.606,0.8142857142857143,0.7090103397341211
1,random,500,0,500,0.8318152435799495,0.627137568314039,0.8867033534422826,0.7631234870623891,0.75,0.626,0.8120300751879699,0.7170953101361573
2,random,500,0,500,0.8311516189544084,0.6161915830682652,0.9146356291953832,0.789904183638821,0.74,0.626,0.8093841642228738,0.716236722306525
0,high_degree,500,0,500,0.8771764705882353,0.6291607843137255,0.9678772710003963,0.8980646091022244,0.812,0.7,0.8801020408163265,0.805699481865285
1,high_degree,500,0,500,0.8771764705882353,0.6291607843137255,0.9678772710003963,0.8980646091022244,0.812,0.7,0.8801020408163265,0.805699481865285
2,high_degree,500,0,500,0.8771764705882353,0.6291607843137255,0.9678772710003963,0.8980646091022244,0.812,0.7,0.8801020408163265,0.805699481865285
