num_removes,random_delta_auc_mean,random_delta_auc_std,random_delta_ap_mean,random_delta_ap_std,high_degree_delta_auc_mean,high_degree_delta_auc_std,high_degree_delta_ap_mean,high_degree_delta_ap_std,gap_auc_abs,gap_ap_abs
500,-0.29683333333333334,0.00506491197685936,-0.26603333333333334,0.01018937354960221,-0.011500000000000002,0.0015099668870541495,-0.011733333333333333,0.0030038863715748858,0.2853333333333333,0.2543
1000,-0.30956666666666666,0.012522513059818849,-0.2804,0.013067516979135708,-0.028300000000000002,0.0005000000000000004,-0.027666666666666662,0.0021079215671683167,0.28126666666666666,0.2527333333333333
2000,-0.30519999999999997,0.009813765841918181,-0.2797,0.007712976079309455,-0.20156666666666667,0.0025929391302792516,-0.14100000000000001,0.0043863424398922725,0.1036333333333333,0.1387
5000,-0.29516666666666663,0.004045161719058116,-0.2689333333333333,0.005965176722724432,-0.16673333333333332,0.0004163331998932229,-0.1063,0.0028687976575562115,0.12843333333333332,0.1626333333333333
