num_removes,file_path,final_auc_unlearn,final_auc_retrain,final_f1_unlearn,final_f1_retrain,mean_time_unlearn,mean_time_retrain,speedup_retrain_over_unlearn
500,D:\experiment\shiyan\gnn+unlearn\sgc_unlearn-main\result_edge\dgraphfin_std_1e-02_lam_1e-03_nr_500_K_2_opt_Adam_mode_edge_eps_1.0_delta_1e-04_bin_1_retrain.pth,0.5974230170249939,0.5974223613739014,0.03188520297408104,0.031884778290987015,0.13825854659080505,0.22752146422863007,1.6456231447449736
1000,D:\experiment\shiyan\gnn+unlearn\sgc_unlearn-main\result_edge\dgraphfin_std_1e-02_lam_1e-03_nr_1000_K_2_opt_Adam_mode_edge_eps_1.0_delta_1e-04_bin_1_retrain.pth,0.5975404381752014,0.5975404381752014,0.03188306838274002,0.03188328072428703,0.14241662621498108,0.23602968454360962,1.657318325932799
2000,D:\experiment\shiyan\gnn+unlearn\sgc_unlearn-main\result_edge\dgraphfin_std_1e-02_lam_1e-03_nr_2000_K_2_opt_Adam_mode_edge_eps_1.0_delta_1e-04_bin_1_retrain.pth,0.5975021719932556,0.5975027680397034,0.03189218416810036,0.03189260885119438,0.1338784247636795,0.21558138728141785,1.6102772919681374
5000,D:\experiment\shiyan\gnn+unlearn\sgc_unlearn-main\result_edge\dgraphfin_std_1e-02_lam_1e-03_nr_5000_K_2_opt_Adam_mode_edge_eps_1.0_delta_1e-04_bin_1_retrain.pth,0.5974963903427124,0.5974958539009094,0.03189489617943764,0.03189489617943764,0.13210920989513397,0.21030354499816895,1.5918916263680958
