num_removes,strategy,file_path,final_auc_unlearn,final_auc_retrain,final_f1_unlearn,final_f1_retrain,mean_time_unlearn,mean_time_retrain,speedup_retrain_over_unlearn
500,high_degree,D:\experiment\shiyan\gnn+unlearn\sgc_unlearn-main\result_edge\dgraphfin_std_1e-02_lam_1e-03_nr_500_K_2_opt_Adam_mode_edge_eps_1.0_delta_1e-04_bin_1_estrat_high_degree_retrain.pth,0.597410261631012,0.5974106192588806,0.031883496791124344,0.031883712857961655,0.13209813833236694,0.21011720597743988,1.590614437341821
1000,high_degree,D:\experiment\shiyan\gnn+unlearn\sgc_unlearn-main\result_edge\dgraphfin_std_1e-02_lam_1e-03_nr_1000_K_2_opt_Adam_mode_edge_eps_1.0_delta_1e-04_bin_1_estrat_high_degree_retrain.pth,0.5973926186561584,0.5973939299583435,0.03188114985823631,0.03188072144985199,0.1294986754655838,0.20632901787757874,1.5932905656043852
2000,high_degree,D:\experiment\shiyan\gnn+unlearn\sgc_unlearn-main\result_edge\dgraphfin_std_1e-02_lam_1e-03_nr_2000_K_2_opt_Adam_mode_edge_eps_1.0_delta_1e-04_bin_1_estrat_high_degree_retrain.pth,0.5972664952278137,0.5972674489021301,0.03187432140111923,0.03187517449259758,0.13004256784915924,0.2077784389257431,1.5977725014377777
