nr,strategy,file_path,final_auc_unlearn,final_auc_retrain,final_f1_unlearn,final_f1_retrain,final_precision_unlearn,final_precision_retrain,final_recall_unlearn,final_recall_retrain,mean_step_time_unlearn,mean_step_time_retrain,speedup_retrain_over_unlearn,mia_before_mean,mia_after_mean
100,high_degree,d:\experiment\result_exp1\dgraphfin_std_1e-02_lam_1e-03_nr_100_K_2_opt_Adam_mode_node_eps_1.0_delta_1e-04_bin_1_high_degree_retrain.pth,0.5974087119102478,0.5974089503288269,0.03188178688287735,0.031882427632808685,0.016721773892641068,0.016722125932574272,0.3413585424423218,0.3413585424423218,0.589838981628418,1.1442174911499023,1.9398810977039278,0.5,0.5
100,random,d:\experiment\result\dgraphfin_std_1e-02_lam_1e-03_nr_100_K_2_opt_Adam_mode_node_eps_1.0_delta_1e-04_bin_1_retrain.pth,0.5975950956344604,0.5975944995880127,0.031940292567014694,0.03194093331694603,0.01675189845263958,0.016752252355217934,0.34221839904785156,0.34221839904785156,0.4216499626636505,0.7065930366516113,1.6757810962152495,0.5,0.5
500,high_degree,d:\experiment\gnn+unlearn\sgc_unlearn-main\result\dgraphfin_std_1e-02_lam_1e-03_nr_500_K_2_opt_Adam_mode_node_eps_1.0_delta_1e-04_bin_1_high_degree_retrain.pth,0.5974171757698059,0.5974191427230835,0.03187858685851097,0.031877949833869934,0.016720013692975044,0.01671966165304184,0.3413585424423218,0.3413585424423218,0.9147514700889587,1.4340794086456299,1.567725721726544,0.5,0.5
500,random,d:\experiment\result\dgraphfin_std_1e-02_lam_1e-03_nr_500_K_2_opt_Adam_mode_node_eps_1.0_delta_1e-04_bin_1_retrain.pth,0.5974074602127075,0.5974071621894836,0.03188114985823631,0.03188050910830498,0.016721421852707863,0.016721069812774658,0.3413585424423218,0.3413585424423218,0.602432131767273,1.395139455795288,2.315845025899528,0.5,0.5
1000,high_degree,d:\experiment\gnn+unlearn\sgc_unlearn-main\result\dgraphfin_std_1e-02_lam_1e-03_nr_1000_K_2_opt_Adam_mode_node_eps_1.0_delta_1e-04_bin_1_high_degree_retrain.pth,0.5973157286643982,0.597317636013031,0.031857483088970184,0.03185684606432915,0.01670840196311474,0.016708051785826683,0.3413585424423218,0.3413585424423218,0.14443518221378326,0.2518101930618286,1.7434131296979711,0.5,0.5
1000,random,d:\experiment\gnn+unlearn\sgc_unlearn-main\result\dgraphfin_std_1e-02_lam_1e-03_nr_1000_K_2_opt_Adam_mode_node_eps_1.0_delta_1e-04_bin_1_random_retrain.pth,0.5974833965301514,0.597483217716217,0.03187858685851097,0.03187858685851097,0.016720013692975044,0.016720013692975044,0.3413585424423218,0.3413585424423218,0.1388830691576004,0.23207081854343414,1.6709799110220342,0.5,0.5
